;Name;Age;Value
671;Rachid Alioui;28;€ 5.0M
672;Habib Diallo;25;€ 5.0M
673;Toma Basic;23;€ 2.0M
674;Damien Da Silva;32;€ 2.0M
675;Jonas Martin;30;€ 5.0M
676;Romain Thomas;32;€ 3.0M
677;Irvin Cardona;22;€ 4.0M
678;Pape Gueye;21;€ 2.0M
679;Zinedine Ferhat;27;€ 6.0M
680;Harold Moukoudi;23;€ 2.0M
681;Ignatius Ganago;21;€ 4.0M
682;Ismaël Traoré;33;€ 800K
683;Yunis Abdelhamid;32;€ 3.0M
684;Alfred Gomis;26;€ 4.0M
685;Ludovic Ajorque;26;€ 6.0M
686;Jordan Ferri;28;€ 5.0M
687;Kévin Monnet-Paquet;31;€ 2.0M
688;Ronaël Pierre-Gabriel;22;€ 2.0M
689;Melvin Bard;19;€ 2.0M
690;Kalifa Coulibaly;28;€ 4.0M
691;Josh Maja;21;€ 3.0M
692;Moussa Koné;23;€ 4.0M
693;Yoane Wissa;23;€ 4.0M
694;Romain Del Castillo;24;€ 5.0M
695;Jean-Kevin Duverne;23;€ 3.0M
696;Youssouf Fofana;21;€ 4.0M
697;Loris Benito;28;€ 5.0M
698;Dereck Kutesa;22;€ 4.0M
699;Arber Zeneli;25;€ 3.0M
700;Hicham Boudaoui;20;€ 3.0M
701;Boulaye Dia;23;€ 4.0M
702;Mateo Pavlovic;30;€ 4.0M
703;Christophe Hérelle;27;€ 5.0M
704;Ludovic Butelle;37;€ 300K
705;Angelo Fulgini;23;€ 3.0M
706;Yoan Cardinale;26;€ 2.0M
707;Adama Soumaoro;28;€ 2.0M
708;Quentin Boisgard;23;€ 4.0M
709;Mounir Chouiar;21;€ 3.0M
710;Birger Meling;25;€ 4.0M
711;Heriberto Tavares;23;€ 4.0M
712;Cheick Doucouré;20;€ 1.0M
713;Dylan Bronn;25;€ 3.0M
714;Flavien Tait;27;€ 5.0M
715;James Lea Siliki;24;€ 4.0M
716;Ibou Sissoko;22;€ 2.0M
717;Dan Ndoye;19;€ 1.0M
718;Fábio;30;€ 2.0M
719;Andreaw Gravillon;22;€ 1.0M
720;Tino Kadewere;24;€ 4.0M
721;Pablo Martinez;31;€ 3.0M
722;Renaud Ripart;27;€ 5.0M
723;Arnaud Souquet;28;€ 4.0M
724;Samuel Grandsir;23;€ 4.0M
725;Fabien Centonze;24;€ 3.0M
726;Paul Nardi;26;€ 2.0M
727;Zaydou Youssouf;21;€ 2.0M
728;Mohamed Simakan;20;€ 1.0M
729;Orestis Karnezis;35;€ 600K
730;Fraser Hornby;20;€ 500K
731;Niclas Eliasson;24;€ 2.0M
732;Facundo Medina;21;€ 800K
733;Bruno Ecuélé Manga;32;€ 3.0M
734;Stephy Mavididi;22;€ 3.0M
735;Thomas Mangani;33;€ 2.0M
736;Antonin Bobichon;24;€ 4.0M
737;Enock Kwateng;23;€ 3.0M
738;Anthony Racioppi;21;€ 1.0M
739;Mihailo Ristic;24;€ 2.0M
740;Mehdi Abeid;27;€ 4.0M
741;Farid El Melali;23;€ 2.0M
742;Nayef Aguerd;24;€ 4.0M
743;Sada Thioub;25;€ 4.0M
744;Anthony Limbombe;26;€ 4.0M
745;Thomas Foket;25;€ 3.0M
746;Paul Lasne;31;€ 2.0M
747;Romain Philippoteaux;32;€ 2.0M
748;Kévin N'Doram;24;€ 3.0M
749;Sofiane Alakouch;22;€ 2.0M
750;Romain Perraud;22;€ 2.0M
751;Clément Michelin;23;€ 2.0M
752;Yvann Maçon;21;€ 2.0M
753;Anthony Caci;23;€ 2.0M
754;Matthieu Saunier;30;€ 900K
755;Gabriel Silva;29;€ 2.0M
756;Majeed Waris;28;€ 4.0M
757;Habib Maïga;24;€ 3.0M
758;Charles Traoré;28;€ 3.0M
759;Wout Faes;22;€ 2.0M
760;Damien Le Tallec;30;€ 3.0M
761;Pierrick Capelle;33;€ 1.0M
762;Xavier Chavalerin;29;€ 3.0M
763;Vincent Manceau;31;€ 2.0M
764;Baptiste Reynet;29;€ 2.0M
765;Arnaud Nordin;22;€ 2.0M
766;Jean-Charles Castelletto;25;€ 3.0M
767;Jérémy Morel;36;€ 200K
768;Lebo Mothiba;24;€ 4.0M
769;Junior Sambia;23;€ 2.0M
770;Randal Kolo Muani;21;€ 1.0M
771;Kiki;23;€ 2.0M
772;Moussa Doumbia;25;€ 4.0M
773;Adrian Grbic;23;€ 3.0M
774;Vincent Pajot;29;€ 4.0M
775;Gaëtan Charbonnier;31;€ 2.0M
776;Kader Bamba;26;€ 4.0M
777;Paul Baysse;32;€ 1.0M
778;Dennis Appiah;28;€ 2.0M
779;Romain Salin;36;€ 300K
780;Florian Miguel;23;€ 1.0M
781;Patrick Burner;24;€ 2.0M
782;Umut Bozok;23;€ 2.0M
783;Lilian Brassier;20;€ 800K
784;Sofiane Diop;20;€ 2.0M
785;Stefan Mitrovic;30;€ 3.0M
786;Ambroise Oyongo;29;€ 3.0M
787;Issiaga Sylla;26;€ 900K
788;Victorien Angban;23;€ 2.0M
789;Moussa Konaté;27;€ 4.0M
790;Lucas Deaux;31;€ 2.0M
791;Dimitri Liénard;32;€ 1.0M
792;Wesley Lautoa;32;€ 500K
793;Bersant Celina;23;€ 900K
794;Haris Belkebla;26;€ 3.0M
795;Yassine Benrahou;21;€ 2.0M
796;Kévin Zohi;23;€ 2.0M
797;Maxime Poundjé;27;€ 2.0M
798;Fabien Lemoine;33;€ 500K
799;Nathanaël Mbuku;18;€ 900K
800;Kaj Sierhuis;22;€ 2.0M
801;Alexandre Oukidja;32;€ 3.0M
802;Yassine Benzia;25;€ 2.0M
803;Mama Baldé;24;€ 3.0M
804;Fouad Chafik;33;€ 500K
805;El Bilal Touré;18;€ 2.0M
806;Racine Coly;24;€ 2.0M
807;Jimmy Cabot;26;€ 2.0M
808;Enzo Le Fée;20;€ 2.0M
809;Armand Laurienté;21;€ 2.0M
810;Houboulang Mendes;22;€ 1.0M
811;Jonathan Clauss;27;€ 3.0M
812;Dénys Bain;27;€ 2.0M
813;Jean-Louis Leca;34;€ 600K
814;Thomas Monconduit;29;€ 2.0M
815;Loïs Diony;27;€ 2.0M
816;Nolan Roux;32;€ 800K
817;Andy Pelmard;20;€ 1.0M
818;Tiago Djaló;20;€ 800K
819;Lassana Coulibaly;24;€ 1.0M
820;Renaud Emond;28;€ 3.0M
821;Haris Duljevic;26;€ 3.0M
822;Franck Honorat;23;€ 2.0M
823;Loïck Landre;28;€ 1.0M
824;Romain Faivre;22;€ 2.0M
825;Djamel Benlamri;30;€ 1.0M
826;Stéphane Diarra;21;€ 1.0M
827;Ibrahima Niane;21;€ 2.0M
828;Mouez Hassen;25;€ 800K
829;Lionel Carole;29;€ 2.0M
830;Laurent Abergel;27;€ 2.0M
831;Jonathan Gradit;27;€ 1.0M
832;Mahdi Camara;22;€ 1.0M
833;Aníbal Chalá;24;€ 600K
834;John Boye;33;€ 600K
835;Massadio Haïdara;27;€ 2.0M
836;Vincent Le Goff;30;€ 2.0M
837;Arthur Zagré;18;€ 500K
838;Vito Mannone;32;€ 1.0M
839;Petar Skuletic;30;€ 1.0M
840;Farid Boulaya;27;€ 3.0M
841;Souleyman Doumbia;23;€ 1.0M
842;Opa Nguette;26;€ 2.0M
843;Julien Laporte;26;€ 2.0M
844;Frédéric Sammaritano;34;€ 200K
845;Julien Faussurier;33;€ 400K
846;Zakaria Diallo;33;€ 300K
847;Jordan Marié;28;€ 2.0M
848;Yannick Cahuzac;35;€ 100K
849;Matthieu Udol;24;€ 2.0M
850;Clément Depres;25;€ 2.0M
851;Mamadou Fofana;22;€ 1.0M
852;Eiji Kawashima;37;€ 100K
853;Pierre-Yves Hamel;26;€ 2.0M
854;Loïc Badé;20;€ 700K
855;Enzo Millot;18;€ 300K
856;Aleksandar Radovanovic;26;€ 2.0M
857;Abdoulaye Bamba;30;€ 2.0M
858;Saïf-Eddine Khaoui;25;€ 1.0M
859;Yann Gboho;19;€ 900K
860;Ludovic Baal;34;€ 60.0K
861;Vágner;24;€ 2.0M
862;Thomas Delaine;28;€ 2.0M
863;Jonathan Delaplace;34;€ 100K
864;Alexis Flips;20;€ 700K
865;Aaron Leya Iseka;23;€ 600K
866;Brendan Chardonnet;25;€ 1.0M
867;Corentin Jean;25;€ 2.0M
868;Gerzino Nyamsi;23;€ 1.0M
869;Idriss Saadi;28;€ 1.0M
870;Warren Tchimbembé;22;€ 800K
871;Keagan Dolly;27;€ 800K
872;Sylvain Marveaux;34;€ 200K
873;Thierry Ambrose;23;€ 1.0M
874;Sven Botman;20;€ 1.0M
875;Saturnin Allagbé;26;€ 1.0M
876;Cheick Traoré;25;€ 700K
877;Jonathan Panzo;19;€ 500K
878;Manuel Cabit;27;€ 1.0M
879;Tony Mauricio;26;€ 2.0M
880;Steven Fortes;28;€ 1.0M
881;Sidy Sarr;24;€ 1.0M
882;Lamine Fomba;22;€ 800K
883;Simon Banza;23;€ 900K
884;Adrien Lebeau;21;€ 700K
885;Charles Boli;21;€ 600K
886;Dion Lopy;18;€ 300K
887;Jessy Moulin;34;€ 600K
888;Ferris N'Goma;27;€ 1.0M
889;Sacha Boey;19;€ 600K
890;Mehdi Chahiri;24;€ 500K
891;Denis Petric;32;€ 800K
892;Yun Il-Lok;28;€ 1.0M
893;Youssef Maziz;22;€ 700K
894;Yvan Neyou;23;€ 600K
895;Lamine Guèye;22;€ 600K
896;Thibault De Smet;22;€ 700K
897;Alpha Sissoko;23;€ 600K
898;Cristian Battocchio;28;€ 600K
899;Thomas Fontaine;29;€ 1.0M
900;Reinildo;26;€ 700K
901;Luca Dias;21;€ 500K
902;Marc-Aurèle Caillard;26;€ 900K
903;Paul Delecroix;31;€ 500K
904;Dimitry Bertaud;22;€ 300K
905;Moreto Cassamá;22;€ 600K
906;Thomas Touré;26;€ 600K
907;Gäetan Paquiez;26;€ 1.0M
908;Cyrille Bayala;24;€ 600K
909;Marshall Munetsi;24;€ 600K
910;Florian Sotoca;29;€ 900K
911;Eric Junior Dina Ebimbe;19;€ 300K
912;Sinaly Diomandé;19;€ 500K
913;Adama Traoré;25;€ 600K
914;Matthieu Dreyer;31;€ 700K
915;Jérôme Hergault;34;€ 80.0K
916;Karim Aribi;26;€ 900K
917;Mahamé Siby;24;€ 300K
918;Jérémy Le Douaron;22;€ 300K
919;Flavius Daniliuc;19;€ 200K
920;Deji Sotona;17;€ 60.0K
921;Franklin Wadja;25;€ 500K
922;Over Mandanda;21;€ 100K
923;Samy Benchama;20;€ 200K
924;Pape Ndiaga Yade;20;€ 500K
925;Hianga'a Mbock;20;€ 300K
926;Lucas Gourna Douath;16;€ 100K
927;Saidou Sow;18;€ 100K
928;Dialy N'Diaye;21;€ 100K
929;Kelyan Guessoum;21;€ 100K
930;Maxence Rivera;18;€ 100K
931;Thibaut Vargas;20;€ 200K
932;Lévi Ntumba;19;€ 50.0K
933;Aïmen Moueffek;19;€ 100K
934;Yehvann Diouf;20;€ 100K
935;Thibault Tamas;19;€ 100K
936;Davy Rouyard;20;€ 50.0K
937;Wilitty Younoussa;18;€ 100K
938;Jean-Philippe Krasso;23;€ 200K
939;Mattéo Ahlinvi;21;€ 100K
940;Ahmad Ngouyamsa;19;€ 80.0K
941;Thierno Diallo;17;€ 10.0K
942;Victor Osimhen;21;€ 30.0M
943;Henrikh Mkhitaryan;31;€ 20.0M
944;Marcelo Brozovic;27;€ 30.0M
945;Theo Hernández;22;€ 30.0M
946;Pedro;33;€ 10.0M
947;Josip Ilicic;32;€ 20.0M
948;Duván Zapata;29;€ 40.0M
949;Diego Godín;34;€ 2.0M
950;Kostas Manolas;29;€ 30.0M
951;Lorenzo Pellegrini;24;€ 20.0M
952;Alessandro Bastoni;21;€ 20.0M
953;Piotr Zielinski;26;€ 30.0M
954;Francesco Acerbi;32;€ 20.0M
955;Pepe Reina;37;€ 700K
956;Ismaël Bennacer;22;€ 20.0M
957;Franck Kessié;23;€ 20.0M
958;Ivan Perisic;31;€ 20.0M
959;Sami Khedira;33;€ 5.0M
960;Stefano Sensi;24;€ 20.0M
961;Arkadiusz Milik;26;€ 20.0M
962;Aaron Ramsey;29;€ 20.0M
963;Alessio Romagnoli;25;€ 20.0M
964;Nikola Milenkovic;22;€ 10.0M
965;Gaetano Castrovilli;23;€ 10.0M
966;Joaquín Correa;25;€ 30.0M
967;Hirving Lozano;25;€ 20.0M
968;Andrea Belotti;26;€ 20.0M
969;Luiz Felipe;23;€ 20.0M
970;Manuel Locatelli;22;€ 10.0M
971;Jordan Veretout;27;€ 20.0M
972;Alex Meret;23;€ 10.0M
973;Sandro Tonali;20;€ 10.0M
974;Rafael Leão;21;€ 20.0M
975;José Callejón;33;€ 5.0M
976;Lucas Leiva;33;€ 5.0M
977;Danilo;29;€ 20.0M
978;Luis Muriel;29;€ 20.0M
979;Robin Gosens;26;€ 20.0M
980;Hakan Çalhanoglu;26;€ 20.0M
981;Jeremie Boga;23;€ 20.0M
982;Ibañez;21;€ 8.0M
983;Weston McKennie;21;€ 20.0M
984;Eljif Elmas;20;€ 10.0M
985;Gervinho;33;€ 5.0M
986;Thomas Strakosha;25;€ 10.0M
987;Matteo Politano;26;€ 20.0M
988;Domenico Berardi;26;€ 20.0M
989;Salvatore Sirigu;33;€ 9.0M
990;Antonio Candreva;33;€ 5.0M
991;Rodrigo De Paul;26;€ 20.0M
992;Cristian Romero;22;€ 10.0M
993;Alexis Saelemaekers;21;€ 9.0M
994;Mario Pasalic;25;€ 20.0M
995;Chris Smalling;30;€ 20.0M
996;Tiémoué Bakayoko;25;€ 30.0M
997;Manuel Lazzari;26;€ 20.0M
998;Gianluca Mancini;24;€ 10.0M
999;Fabio Quagliarella;37;€ 1.0M
1000;Ruslan Malinovskyi;27;€ 20.0M
1001;David Ospina;31;€ 10.0M
1002;Amadou Diawara;23;€ 10.0M
1003;Marash Kumbulla;20;€ 7.0M
1004;Federico Bernardeschi;26;€ 20.0M
1005;Pierluigi Gollini;25;€ 10.0M
1006;Riccardo Orsolini;23;€ 10.0M
1007;Marten de Roon;29;€ 20.0M
1008;Nahitan Nández;24;€ 10.0M
1009;Simon Kjær;31;€ 10.0M
1010;Leonardo Spinazzola;27;€ 20.0M
1011;Giovanni Di Lorenzo;26;€ 20.0M
1012;Fernando Llorente;35;€ 600K
1013;Remo Freuler;28;€ 20.0M
1014;Aleksandar Kolarov;34;€ 1.0M
1015;Juan Musso;26;€ 10.0M
1016;Vedat Muriqi;26;€ 10.0M
1017;Sofyan Amrabat;23;€ 10.0M
1018;Senad Lulic;34;€ 1.0M
1019;Ante Rebic;26;€ 20.0M
1020;Ashley Young;35;€ 900K
1021;Francesco Caputo;32;€ 8.0M
1022;Bartlomiej Dragowski;22;€ 7.0M
1023;Stefan Radu;33;€ 4.0M
1024;Stanislav Lobotka;25;€ 10.0M
1025;Roberto Gagliardini;26;€ 10.0M
1026;Marco Parolo;35;€ 1.0M
1027;Giacomo Bonaventura;30;€ 9.0M
1028;Jens Petter Hauge;20;€ 7.0M
1029;Rodrigo Palacio;38;€ 600K
1030;Musa Barrow;21;€ 9.0M
1031;Takehiro Tomiyasu;21;€ 6.0M
1032;Roberto Soriano;29;€ 10.0M
1033;Alessio Cragno;26;€ 10.0M
1034;Luca Pellegrini;21;€ 6.0M
1035;Bruno Alves;38;€ 500K
1036;Brahim Díaz;20;€ 10.0M
1037;José Luis Palomino;30;€ 10.0M
1038;Rafael Tolói;29;€ 20.0M
1039;Felipe Caicedo;31;€ 10.0M
1040;Diego Demme;28;€ 10.0M
1041;Hans Hateboer;26;€ 20.0M
1042;Adrien Silva;31;€ 5.0M
1043;Borja Valero;35;€ 600K
1044;Dušan Vlahovic;20;€ 7.0M
1045;Matías Vecino;28;€ 10.0M
1046;Alexey Miranchuk;24;€ 10.0M
1047;Gerard Deulofeu;26;€ 30.0M
1048;Germán Pezzella;29;€ 10.0M
1049;Adam Marusic;27;€ 10.0M
1050;Matteo Pessina;23;€ 9.0M
1051;Miguel Veloso;34;€ 900K
1052;Carles Pérez;22;€ 9.0M
1053;Elseid Hysaj;26;€ 7.0M
1054;Bryan Cristante;25;€ 10.0M
1055;Danilo D'Ambrosio;31;€ 6.0M
1056;Goran Pandev;37;€ 300K
1057;Samu Castillejo;25;€ 10.0M
1058;Mateo Musacchio;29;€ 7.0M
1059;Mattia Perin;27;€ 7.0M
1060;Nikola Maksimovic;28;€ 8.0M
1061;Gonzalo Escalante;27;€ 10.0M
1062;Martín Cáceres;33;€ 2.0M
1063;Berat Djimsiti;27;€ 10.0M
1064;Armando Izzo;28;€ 10.0M
1065;Mattia Caldara;26;€ 9.0M
1066;Mattia Zaccagni;25;€ 7.0M
1067;Ricardo Rodríguez;27;€ 7.0M
1068;Mert Müldür;21;€ 5.0M
1069;Giovanni Simeone;24;€ 10.0M
1070;Lucas Martínez Quarta;24;€ 8.0M
1071;Andreas Cornelius;27;€ 9.0M
1072;Davide Calabria;23;€ 8.0M
1073;Domenico Criscito;33;€ 2.0M
1074;Sam Lammers;23;€ 8.0M
1075;Iago Falqué;30;€ 7.0M
1076;Federico Fazio;33;€ 2.0M
1077;Mohamed Fares;24;€ 9.0M
1078;Faouzi Ghoulam;29;€ 8.0M
1079;Nicolas Nkoulou;30;€ 6.0M
1080;Christian Kouamé;22;€ 8.0M
1081;Hamed Junior Traoré;20;€ 5.0M
1082;Nikola Kalinic;32;€ 5.0M
1083;Marko Rog;25;€ 9.0M
1084;Kévin Malcuit;29;€ 8.0M
1085;Juraj Kucka;33;€ 3.0M
1086;Gonzalo Villar;22;€ 6.0M
1087;Nicolás Domínguez;22;€ 6.0M
1088;João Pedro;28;€ 10.0M
1089;Amir Rrahmani;26;€ 6.0M
1090;Keita Baldé;25;€ 10.0M
1091;Maxime Lopez;22;€ 7.0M
1092;Andrea Conti;26;€ 9.0M
1093;Andrea Petagna;25;€ 9.0M
1094;Simone Verdi;28;€ 9.0M
1095;Mário Rui;29;€ 8.0M
1096;Gary Medel;32;€ 3.0M
1097;Cristián Zapata;33;€ 1.0M
1098;Milan Badelj;31;€ 5.0M
1099;Davide Zappacosta;28;€ 20.0M
1100;Nicola Sansone;28;€ 7.0M
1101;Cristian Ansaldi;33;€ 1.0M
1102;Roberto Pereyra;29;€ 7.0M
1103;Erick Pulgar;26;€ 10.0M
1104;Luigi Sepe;29;€ 7.0M
1105;Cristiano Biraghi;27;€ 9.0M
1106;Matteo Darmian;30;€ 8.0M
1107;Patrick Cutrone;22;€ 20.0M
1108;Kamil Glik;32;€ 3.0M
1109;Pau López;25;€ 7.0M
1110;Mattias Svanberg;21;€ 4.0M
1111;Bremer;23;€ 7.0M
1112;Roberto Inglese;28;€ 9.0M
1113;Cristiano Piccini;27;€ 10.0M
1114;Manolo Gabbiadini;28;€ 8.0M
1115;Rolando Mandragora;23;€ 7.0M
1116;Andrea Ranocchia;32;€ 2.0M
1117;Ionut Radu;23;€ 5.0M
1118;Borja Mayoral;23;€ 10.0M
1119;Filip Djuricic;28;€ 10.0M
1120;Sasa Lukic;23;€ 7.0M
1121;Jean-Daniel Akpa Akpro;27;€ 8.0M
1122;Jeremy Toljan;25;€ 6.0M
1123;Antonio Mirante;37;€ 500K
1124;Davide Santon;29;€ 6.0M
1125;Simone Zaza;29;€ 6.0M
1126;Karol Linetty;25;€ 8.0M
1127;Patric;27;€ 9.0M
1128;Pol Lirola;22;€ 7.0M
1129;Leonardo Pavoletti;31;€ 6.0M
1130;Danilo Cataldi;25;€ 8.0M
1131;Andrea Pinamonti;21;€ 4.0M
1132;Darko Lazovic;29;€ 8.0M
1133;Andreas Pereira;24;€ 20.0M
1134;Kevin Lasagna;27;€ 8.0M
1135;Rick Karsdorp;25;€ 7.0M
1136;Vlad Chiriches;30;€ 5.0M
1137;Razvan Marin;24;€ 7.0M
1138;Lyanco;23;€ 6.0M
1139;Gastón Ramírez;29;€ 6.0M
1140;Tomás Rincón;32;€ 4.0M
1141;Adam Ounas;23;€ 7.0M
1142;Andreas Skov Olsen;20;€ 3.0M
1143;Ragnar Klavan;34;€ 400K
1144;Marco Silvestri;29;€ 5.0M
1145;Emil Audero;23;€ 4.0M
1146;Sebastiano Luperto;23;€ 5.0M
1147;Eddie Salcedo;18;€ 3.0M
1148;Jerdy Schouten;23;€ 5.0M
1149;Alfred Duncan;27;€ 8.0M
1150;Wylan Cyprien;25;€ 7.0M
1151;Davide Faraoni;28;€ 8.0M
1152;Stefano Sturaro;27;€ 6.0M
1153;Riccardo Sottil;21;€ 4.0M
1154;Christian Maggio;38;€ 200K
1155;Ciprian Tatarusanu;34;€ 3.0M
1156;Jasmin Kurtic;31;€ 6.0M
1157;Mert Çetin;23;€ 4.0M
1158;Jesus;29;€ 4.0M
1159;Rogério;22;€ 5.0M
1160;Marko Pjaca;25;€ 6.0M
1161;Antonin Barak;25;€ 5.0M
1162;Soualiho Meité;26;€ 7.0M
1163;Lorenzo De Silvestri;32;€ 4.0M
1164;Matteo Gabbia;20;€ 4.0M
1165;Wesley Hoedt;26;€ 20.0M
1166;Diogo Dalot;21;€ 10.0M
1167;Hernâni;26;€ 8.0M
1168;Bruno Peres;30;€ 5.0M
1169;Maya Yoshida;31;€ 4.0M
1170;Grégoire Defrel;29;€ 6.0M
1171;Daniele Baselli;28;€ 7.0M
1172;Andrea Consigli;33;€ 3.0M
1173;Tommaso Pobega;21;€ 3.0M
1174;Federico Marchetti;37;€ 100K
1175;Denis Vavro;24;€ 5.0M
1176;Albin Ekdal;31;€ 4.0M
1177;Valon Behrami;35;€ 300K
1178;Johan Mojica;27;€ 5.0M
1179;Rade Krunic;26;€ 7.0M
1180;Ronaldo Vieira;21;€ 4.0M
1181;Julian Chabot;22;€ 3.0M
1182;Marco Benassi;25;€ 7.0M
1183;Andrea Masiello;34;€ 600K
1184;Luca Cigarini;34;€ 900K
1185;Lorenzo Tonelli;30;€ 4.0M
1186;Mattia Destro;29;€ 4.0M
1187;Giacomo Raspadori;20;€ 3.0M
1188;Jeroen Zoet;29;€ 5.0M
1189;Riccardo Gagliolo;30;€ 6.0M
1190;Rodrigo Becão;24;€ 5.0M
1191;Jakub Jankto;24;€ 5.0M
1192;Marco Sportiello;28;€ 4.0M
1193;Morten Thorsby;24;€ 6.0M
1194;Kaan Ayhan;25;€ 5.0M
1195;Lautaro Valenti;21;€ 3.0M
1196;Igor;22;€ 4.0M
1197;Yann Karamoh;22;€ 4.0M
1198;Jean-Victor Makengo;22;€ 3.0M
1199;Gianluca Caprari;27;€ 7.0M
1200;Gian Marco Ferrari;28;€ 5.0M
1201;Federico Bonazzoli;23;€ 5.0M
1202;Matteo Lovato;20;€ 1.0M
1203;Danilo;36;€ 300K
1204;Léo Duarte;24;€ 4.0M
1205;Mamadou Coulibaly;21;€ 3.0M
1206;Amer Gojak;23;€ 2.0M
1207;Mikkel Damsgaard;20;€ 4.0M
1208;Giorgos Kyriakopoulos;24;€ 4.0M
1209;Davide Biraschi;26;€ 6.0M
1210;Andrea Poli;30;€ 4.0M
1211;Giuseppe Pezzella;22;€ 3.0M
1212;Paolo Ghiglione;23;€ 3.0M
1213;Emanuel Vignato;19;€ 2.0M
1214;Mitchell Dijks;27;€ 7.0M
1215;Denis Dragus;21;€ 2.0M
1216;Fabio Depaoli;23;€ 6.0M
1217;Riccardo Saponara;28;€ 4.0M
1218;Lorenzo Montipò;24;€ 2.0M
1219;Marco Carnesecchi;20;€ 700K
1220;Lukasz Skorupski;29;€ 4.0M
1221;Lisandro Magallán;26;€ 6.0M
1222;Gastón Pereiro;25;€ 5.0M
1223;Adrien Tameze;26;€ 5.0M
1224;Valerio Verre;26;€ 4.0M
1225;Federico Dimarco;22;€ 4.0M
1226;Federico Peluso;36;€ 200K
1227;Francesco Cassata;23;€ 3.0M
1228;Marlon;24;€ 4.0M
1229;Pedro Obiang;28;€ 4.0M
1230;Omar Colley;27;€ 4.0M
1231;Kevin Agudelo;21;€ 3.0M
1232;Gianluca Lapadula;30;€ 4.0M
1233;Jens Stryger Larsen;29;€ 5.0M
1234;Koffi Djidji;27;€ 3.0M
1235;Mattia Bani;26;€ 5.0M
1236;Stefano Okaka;30;€ 4.0M
1237;Tommaso Augello;25;€ 4.0M
1238;Gianluca Scamacca;21;€ 2.0M
1239;Artur Ionita;29;€ 6.0M
1240;Samir;25;€ 4.0M
1241;Tolgay Arslan;29;€ 4.0M
1242;Simone Iacoponi;33;€ 2.0M
1243;Luca Caldirola;29;€ 3.0M
1244;Alberto Grassi;25;€ 4.0M
1245;Filippo Melegoni;21;€ 2.0M
1246;Sebastian Walukiewicz;20;€ 4.0M
1247;Miha Zajc;26;€ 7.0M
1248;Ignacio Pussetto;24;€ 9.0M
1249;Simy;28;€ 4.0M
1250;Luca Ceppitelli;30;€ 3.0M
1251;Fabio Pisacane;34;€ 300K
1252;Gaetano Letizia;30;€ 3.0M
1253;Francesco Magnanelli;35;€ 300K
1254;Elio Capradossi;24;€ 2.0M
1255;Arkadiusz Reca;25;€ 4.0M
1256;Lasse Schöne;34;€ 400K
1257;Sèbastien De Maio;33;€ 1.0M
1258;Kevin Bonifazi;24;€ 4.0M
1259;Thomas Ouwejan;23;€ 5.0M
1260;Bartosz Bereszynski;28;€ 3.0M
1261;Federico Santander;29;€ 5.0M
1262;Daam Foulon;21;€ 3.0M
1263;Valentin Eysseric;28;€ 3.0M
1264;Koray Günter;25;€ 4.0M
1265;Antonio Barreca;25;€ 4.0M
1266;Marco Sau;32;€ 1.0M
1267;Andrea Favilli;23;€ 3.0M
1268;Gianluca Frabotta;21;€ 2.0M
1269;Juan Brunetta;23;€ 3.0M
1270;Bryan Dabo;28;€ 4.0M
1271;Eldor Shomurodov;25;€ 4.0M
1272;Përparim Hetemaj;33;€ 700K
1273;Mehdi Léris;22;€ 3.0M
1274;Pasquale Schiattarella;33;€ 2.0M
1275;Nicolas Viola;30;€ 3.0M
1276;Federico Ceccherini;28;€ 4.0M
1277;Hidde ter Avest;23;€ 3.0M
1278;Lukáš Haraslín;24;€ 3.0M
1279;Milos Vulic;23;€ 3.0M
1280;Junior Messias;29;€ 3.0M
1281;Gastón Brugman;27;€ 4.0M
1282;Mehdi Bourabia;28;€ 3.0M
1283;Lukas Lerager;27;€ 4.0M
1284;Vincent Laurini;31;€ 3.0M
1285;Nicola Murru;25;€ 4.0M
1286;Giangiacomo Magnani;24;€ 2.0M
1287;Simone Scuffet;24;€ 1.0M
1288;Andrés Tello;24;€ 2.0M
1289;Mërgim Vojvoda;25;€ 3.0M
1290;Lennart Czyborra;21;€ 2.0M
1291;Paolo Faragò;27;€ 4.0M
1292;Lorenzo Venuti;25;€ 3.0M
1293;Jacopo Petriccione;25;€ 3.0M
1294;Gabriele Zappa;20;€ 2.0M
1295;Federico Ricci;26;€ 3.0M
1296;Vincenzo Millico;19;€ 2.0M
1297;Christian Oliva;24;€ 3.0M
1298;Emmanuel Badu;29;€ 3.0M
1299;Bosko Sutalo;20;€ 3.0M
1300;Fernando Forestieri;30;€ 3.0M
1301;Marvin Zeegelaar;29;€ 3.0M
1302;Aaron Hickey;18;€ 2.0M
1303;Cristo;22;€ 2.0M
1304;Kevin Rüegg;21;€ 2.0M
1305;Ivan Radovanovic;31;€ 2.0M
1306;Yordan Osorio;26;€ 4.0M
1307;Ebrima Colley;20;€ 2.0M
1308;Alex Ferrari;26;€ 2.0M
1309;Roberto Insigne;26;€ 2.0M
1310;Simone Edera;23;€ 3.0M
1311;Ilija Nestorovski;30;€ 3.0M
1312;Stefano Denswil;26;€ 4.0M
1313;Riza Durmisi;26;€ 2.0M
1314;Emmanuel Rivière;30;€ 1.0M
1315;Charalampos Lykogiannis;26;€ 3.0M
1316;Alessandro Deiola;25;€ 3.0M
1317;Valter Birsa;33;€ 300K
1318;Dodô;28;€ 2.0M
