	Player	Position	Comp	Age	Min	Goals	GoalsPer90	Asists	Asists	GoalAstPer90	TacklesWon	TklDribbling	Blocks	SuccPressRatio	CompletedPasses	PassCompRatio	TotDistPass	ProgDistPass	90s	SCA	SCA90	ShootPass	ShootDrib	GCA	GCA90	AssistPass	AssistDrib	Crosses	PenaltyWon	AerialWonRate	ShootOnTarget	ShootPer90	GoalPerShoot
1845	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1846	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1847	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1848	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1849	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1850	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1851	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1852	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1853	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1854	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1855	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1856	Erick Cabaco	DF	es La Liga	24	267	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1857	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	85	61.6	2366	986	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1858	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	85	61.6	2366	986	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1859	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	85	61.6	2366	986	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1860	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	85	61.6	2366	986	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1861	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1862	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1863	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1864	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1865	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1866	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1867	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1868	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1869	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1870	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1871	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1872	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	2	1	2	25.0	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1873	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1874	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1875	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1876	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1877	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1878	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1879	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1880	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	85	61.6	2366	986	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1881	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1882	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1883	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1884	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	3.0	0	0.00	0	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1885	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.34	0.00
1886	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	3	0	85.7	0	0.44	0.00
1887	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.34	0.00
1888	Erick Cabaco	DF	es La Liga	24	809	0	0.00	0	0.00	0.00	10	4	15	41.2	275	78.8	6649	2638	9.0	6	0.67	4	0	0	0.00	0	0	0	0	54.1	0	0.44	0.00
1889	Willy Caballero	GK	eng Premier League	37	450	0	0.00	0	0.00	0.00	0	0	0		121	73.3	3403	2177	5.0	0	0.00	0	0	0	0.00	0	0	0	0		0	0.00	
1890	Yohan Cabaye	MF	fr Ligue 1	33	858	0	0.00	1	0.10	0.10	26	12	12	30.9	403	79.8	8262	2636	9.5	20	2.10	15	1	1	0.10	1	0	8	0	58.8	3	1.15	0.00
1891	Manuel Cabit	DF	fr Ligue 1	26	270	0	0.00	1	0.33	0.33	3	3	5	23.9	104	67.1	1778	746	3.0	6	2.00	5	0	1	0.33	1	0	9	0	0.0	0	0.00	
1892	Ariday Cabrera	MF,FW	es La Liga	30	37	0	0.00	0	0.00	0.00	1	0	2	20.0	9	81.8	186	39	0.4	0	0.00	0	0	0	0.00	0	0	0	0		1	2.43	0.00
1893	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1894	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1895	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1896	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1897	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1898	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1899	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1900	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1901	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1902	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1903	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1904	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1905	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1906	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1907	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1908	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	2	2	22	38.3	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1909	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1910	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1911	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1912	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1913	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1914	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1915	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1916	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1917	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1918	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1919	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1920	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1921	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1922	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1923	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1924	Leandro Cabrera	DF	es La Liga	28	1,530	2	0.12	0	0.00	0.12	17	14	22	37.9	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1925	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1926	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1927	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1928	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1929	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1930	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1931	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1932	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1933	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1934	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1935	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1936	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1937	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1938	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1939	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1940	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	2	2	22	38.3	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1941	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1942	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1943	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1944	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	272	54.1	8769	3482	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1945	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1946	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1947	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1948	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	272	54.1	8769	3482	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1949	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1950	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1951	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1952	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	553	67.5	13741	5585	17.0	6	0.35	2	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1953	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	3	0.53	0.22
1954	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	14	0	63.7	0	0.06	0.00
1955	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	3	0.53	0.22
1956	Leandro Cabrera	DF	es La Liga	28	1,530	0	0.00	1	0.06	0.06	17	14	22	37.9	553	67.5	13741	5585	17.0	11	0.65	8	0	1	0.06	0	0	21	0	69.7	0	0.06	0.00
1957	Fabrizio Cacciatore	DF	it Serie A	32	1,153	0	0.00	0	0.00	0.00	5	3	31	27.9	557	79.0	11573	5367	12.8	15	1.17	14	0	2	0.16	2	0	27	0	56.5	0	0.31	0.00
1958	Martín Cáceres	DF	it Serie A	32	2,356	1	0.04	0	0.00	0.04	36	11	43	32.7	1099	84.1	22557	8240	26.2	27	1.03	17	0	1	0.04	0	0	10	0	59.3	3	0.46	0.08
1959	Anthony Caci	DF	fr Ligue 1	22	691	1	0.13	4	0.52	0.65	23	13	27	39.7	416	80.0	8754	4020	7.7	21	2.74	18	0	7	0.91	6	0	20	0	50.0	3	0.52	0.25
1960	Jhonder Cádiz	FW,MF	fr Ligue 1	24	799	2	0.23	2	0.23	0.45	10	2	6	31.5	120	63.5	1928	404	8.9	25	2.82	12	5	3	0.34	1	1	11	0	47.7	12	3.38	0.07
1961	Mathieu Cafaro	FW,MF	fr Ligue 1	22	924	1	0.10	2	0.19	0.29	9	5	10	17.7	203	57.8	4411	1643	10.3	32	3.12	13	4	3	0.29	0	0	40	1	31.6	14	3.70	0.00
1962	Jonathan Cafu	DF	fr Ligue 1	28	201	0	0.00	0	0.00	0.00	4	3	2	22.9	78	82.1	1266	308	2.2	3	1.34	2	1	0	0.00	0	0	1	0	0.0	0	0.45	0.00
1963	Gary Cahill	DF	eng Premier League	33	2,167	0	0.00	1	0.04	0.04	12	6	45	33.0	826	86.7	18604	5545	24.1	8	0.33	5	0	1	0.04	1	0	0	0	63.4	5	0.83	0.00
1964	Felipe Caicedo	FW	it Serie A	30	1,406	9	0.58	2	0.13	0.70	24	2	6	27.2	321	79.5	4173	786	15.6	42	2.69	36	2	9	0.58	5	1	2	3	30.8	14	1.92	0.30
1965	Arturo Calabresi	DF	fr Ligue 1	23	1,878	1	0.05	1	0.05	0.10	42	34	50	36.0	714	74.1	12771	6137	20.9	20	0.96	14	2	2	0.10	1	0	24	0	47.1	1	0.29	0.17
1966	Davide Calabria	DF	it Serie A	22	1,622	1	0.06	1	0.06	0.11	20	20	42	26.1	945	80.8	18601	7475	18.0	28	1.55	21	0	5	0.28	3	0	29	0	55.6	2	0.72	0.08
1967	Riccardo Calafiori	DF	it Serie A	17	59	0	0.00	0	0.00	0.00	0	0	0	0.0	10	71.4	186	53	0.7	1	1.53	0	0	1	1.53	0	0	1	1		0	0.00	
1968	Mattia Caldara	DF	it Serie A	25	959	0	0.00	1	0.09	0.09	14	5	16	36.1	381	89.9	7708	1584	10.7	3	0.28	3	0	1	0.09	1	0	1	0	63.5	0	0.38	0.00
1969	Marco Calderoni	DF	it Serie A	30	2,064	3	0.13	2	0.09	0.22	30	22	60	25.1	829	73.9	15879	6224	22.9	39	1.70	26	1	5	0.22	3	0	75	0	42.9	5	1.00	0.13
1970	Fernando Calero	DF	es La Liga	23	1,043	0	0.00	0	0.00	0.00	8	6	18	28.4	507	87.9	10183	3222	11.6	3	0.26	1	0	0	0.00	0	0	1	0	45.5	0	0.00	
1971	Duje Ćaleta-Car	DF	fr Ligue 1	22	1,886	1	0.05	1	0.05	0.10	19	19	38	31.3	941	88.9	21303	6700	21.0	10	0.48	9	0	0	0.00	0	0	3	0	73.4	4	0.72	0.07
1972	Hakan Çalhanoğlu	MF,FW	it Serie A	25	2,704	9	0.30	9	0.30	0.60	34	10	33	29.3	1290	78.2	23557	6118	30.0	132	4.39	91	9	15	0.50	10	2	60	0	30.8	32	3.39	0.08
1973	Daniel Caligiuri	MF,FW	de Bundesliga	31	2,293	2	0.08	2	0.08	0.16	31	34	84	32.2	637	63.9	11598	4744	25.5	87	3.41	38	6	8	0.31	3	0	48	0	51.7	11	1.69	0.02
