;PlayerName;Name;Position;Age;Min;Goals;GoalsPer90;Asists;AsistsPer90;GoalAstPer90;Played90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio;MatchPlayed;PointPerMatch;TouchPenArea;SuccDrib;DribLegs;PlayerType;Value;Value2;NetValue;logValue
321;Dedryck Boyata;Dedryck Boyata;DF;28.0;2436;4;0.15;1;0.04;0.18;27.1;6.0;0.22;5.0;0.0;1.0;0.04;1.0;0.0;1219.0;90.6;29167.0;6620.0;0;0.0;74.3;4;0.67;0.22;20;8.0;44.0;32.5;28;1.29;28.0;12.0;0.0;Defender;7.0;M;7.0;1.9459101490553132
322;Dele Alli;Dele Alli;MF;23.0;1847;8;0.39;4;0.19;0.58;20.5;54.0;2.63;39.0;9.0;12.0;0.58;5.0;5.0;621.0;77.1;10289.0;2384.0;5;0.0;34.7;18;1.9;0.18;29;8.0;53.0;28.2;25;1.4;96.0;32.0;7.0;Midfielder;30.0;M;30.0;3.4011973816621555
323;Demarai Gray;Demarai Gray;MF;23.0;622;2;0.29;3;0.43;0.72;6.9;29.0;4.2;25.0;1.0;6.0;0.87;5.0;0.0;271.0;82.9;4329.0;850.0;22;1.0;30.0;6;3.04;0.1;5;3.0;10.0;30.2;21;1.76;40.0;11.0;0.0;Midfielder;20.0;M;20.0;2.995732273553991
324;Denis Bouanga;Denis Bouanga;FW;24.0;2042;10;0.44;3;0.13;0.57;22.7;61.0;2.69;27.0;13.0;7.0;0.31;2.0;0.0;408.0;68.0;6746.0;1860.0;46;0.0;38.0;34;3.35;0.09;35;22.0;34.0;25.1;26;1.15;114.0;64.0;4.0;Forward;6.0;M;6.0;1.791759469228055
325;Denis Cheryshev;Denis Cheryshev;MF;28.0;926;1;0.1;2;0.19;0.29;10.3;21.0;2.04;15.0;0.0;4.0;0.39;4.0;0.0;240.0;68.8;4058.0;1037.0;40;1.0;40.0;7;2.04;0.05;7;4.0;24.0;21.4;24;1.42;49.0;13.0;2.0;Midfielder;10.0;M;10.0;2.302585092994046
326;Denis Suárez;Denis Suárez;MF;25.0;1630;1;0.06;5;0.28;0.33;18.1;57.0;3.15;37.0;3.0;5.0;0.28;5.0;0.0;664.0;75.8;11388.0;3795.0;40;1.0;15.8;9;1.05;0.05;16;9.0;19.0;24.5;26;1.04;51.0;56.0;4.0;Midfielder;20.0;M;20.0;2.995732273553991
327;Denis Vavro;Denis Vavro;DF;23.0;328;0;0.0;0;0.0;0.0;3.6;1.0;0.27;1.0;0.0;0.0;0.0;0.0;0.0;188.0;91.7;4163.0;1442.0;0;0.0;60.0;0;0.82;0.0;1;1.0;10.0;40.9;11;1.64;1.0;1.0;0.0;Defender;5.0;M;5.0;1.6094379124341003
328;Denis Zakaria;Denis Zakaria;MF;22.0;1947;2;0.09;2;0.09;0.18;21.6;26.0;1.2;23.0;2.0;4.0;0.18;4.0;0.0;787.0;86.7;14796.0;3781.0;1;0.0;57.4;5;1.06;0.09;54;17.0;45.0;33.2;23;2.0;18.0;47.0;0.0;Midfielder;9.0;M;9.0;2.1972245773362196
329;Dennis Appiah;Dennis Appiah;DF;27.0;1605;0;0.0;0;0.0;0.0;17.8;18.0;1.01;13.0;0.0;0.0;0.0;0.0;0.0;744.0;77.2;11758.0;5492.0;25;0.0;61.1;0;0.06;0.0;32;19.0;20.0;32.0;19;1.37;6.0;21.0;0.0;Defender;2.0;M;2.0;0.6931471805599453
330;Dennis Geiger;Dennis Geiger;MF;21.0;1136;0;0.0;3;0.24;0.24;12.6;41.0;3.25;19.0;1.0;4.0;0.32;2.0;0.0;516.0;83.1;9990.0;2695.0;13;0.0;28.6;1;1.11;0.0;10;2.0;12.0;27.9;21;1.38;13.0;7.0;0.0;Midfielder;7.0;M;7.0;1.9459101490553132
331;Dennis Praet;Dennis Praet;MF;25.0;1134;1;0.08;2;0.16;0.24;12.6;24.0;1.9;15.0;2.0;5.0;0.4;3.0;0.0;446.0;82.7;7655.0;1903.0;9;0.0;35.7;3;1.27;0.06;18;10.0;26.0;25.0;27;1.41;22.0;16.0;0.0;Midfielder;30.0;M;30.0;3.4011973816621555
332;Dereck Kutesa;Dereck Kutesa;FW;21.0;528;1;0.17;0;0.0;0.17;5.9;7.0;1.19;5.0;1.0;2.0;0.34;1.0;1.0;112.0;73.7;1728.0;540.0;8;0.0;27.3;2;0.68;0.25;7;1.0;10.0;40.5;14;0.71;21.0;14.0;0.0;Forward;4.0;M;4.0;1.3862943611198906
333;Deyverson;Deyverson;FW;28.0;204;0;0.0;1;0.44;0.44;2.3;5.0;2.21;4.0;0.0;2.0;0.88;1.0;0.0;34.0;50.0;629.0;177.0;1;0.0;60.0;1;1.76;0.0;0;0.0;2.0;15.9;5;1.8;6.0;4.0;2.0;Forward;4.0;M;4.0;1.3862943611198906
334;Diego Carlos;Diego Carlos;DF;26.0;3134;2;0.06;0;0.0;0.06;34.8;17.0;0.49;13.0;1.0;1.0;0.03;1.0;0.0;1600.0;86.6;37196.0;11737.0;6;0.0;68.4;2;0.57;0.1;34;16.0;57.0;40.1;35;1.86;28.0;8.0;0.0;Defender;20.0;M;20.0;2.995732273553991
335;Diego Demme;Diego Demme;MF;27.0;2113;1;0.05;0;0.0;0.05;23.5;51.0;2.125;48.0;0.0;3.0;0.125;3.0;0.0;1648.0;89.05000000000003;30126.0;6627.0;10;0.0;36.35;3;0.35;0.125;41;25.0;37.0;30.15;32;1.955;22.0;15.0;1.0;Midfielder;10.0;M;10.0;2.302585092994046
336;Diego Farias;Diego Farias;FW;29.0;824;2;0.22;0;0.0;0.22;9.2;37.0;4.04;26.0;5.0;4.0;0.44;1.0;1.0;294.0;81.0;5125.0;1247.0;21;1.0;16.7;6;2.51;0.09;5;5.0;9.0;14.8;18;0.78;55.0;24.0;2.0;Forward;3.0;M;3.0;1.0986122886681098
337;Diego Godín;Diego Godín;DF;33.0;1628;1;0.06;1;0.06;0.11;18.1;25.0;1.38;21.0;0.0;3.0;0.17;3.0;0.0;935.0;85.7;19441.0;6297.0;5;0.0;60.9;2;0.61;0.09;29;17.0;23.0;31.9;23;2.04;14.0;12.0;0.0;Defender;2.0;M;2.0;0.6931471805599453
338;Diego Llorente;Diego Llorente;DF;25.0;2327;1;0.04;1;0.04;0.08;25.9;14.0;0.54;13.0;0.0;2.0;0.08;1.0;0.0;1410.0;88.2;31683.0;7679.0;1;1.0;57.3;4;0.39;0.1;21;16.0;30.0;37.1;29;1.28;16.0;6.0;0.0;Defender;30.0;M;30.0;3.4011973816621555
339;Dimitri Foulquier;Dimitri Foulquier;MF;26.0;1178;1;0.04;0;0.0;0.04;13.1;12.0;1.205;11.0;1.0;0.0;0.0;0.0;0.0;291.0;72.45;4981.0;2093.0;11;0.0;18.05;2;0.2;0.1;9;13.0;26.0;31.3;20;0.93;6.0;14.0;0.0;Midfielder;700.0;K;0.7000000000000001;-0.3566749439387323
340;Dimitri Liénard;Dimitri Liénard;MF;31.0;1489;2;0.12;3;0.18;0.3;16.5;65.0;3.93;38.0;3.0;10.0;0.6;6.0;1.0;810.0;78.0;18853.0;4513.0;50;0.0;42.3;10;2.06;0.06;28;23.0;26.0;29.8;22;1.45;9.0;15.0;0.0;Midfielder;1.0;M;1.0;0.0
341;Dimitris Siovas;Dimitris Siovas;DF;30.0;1918;0;0.0;0;0.0;0.0;21.3;13.0;0.61;9.0;1.0;2.0;0.09;1.0;0.0;594.0;71.2;13580.0;5328.0;8;0.0;65.5;4;0.61;0.0;25;13.0;31.0;38.1;24;0.84;28.0;9.0;0.0;Defender;3.0;M;3.0;1.0986122886681098
342;Dimitry Bertaud;Dimitry Bertaud;GK;21.0;196;0;0.0;0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;88.1;1821.0;1073.0;0;0.0;0.0;0;0.0;0.0;1;1.0;0.0;0.0;3;0.0;0.0;2.0;0.0;Goalkeeper;300.0;K;0.3;-1.2039728043259361
343;Diogo Dalot;Diogo Dalot;DF;20.0;67;0;0.0;0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.0;79.7;887.0;248.0;2;0.0;100.0;0;1.34;0.0;2;2.0;1.0;50.0;4;1.0;4.0;0.0;0.0;Defender;10.0;M;10.0;2.302585092994046
344;Diogo Jota;Diogo Jota;FW;22.0;2284;7;0.28;1;0.04;0.32;25.4;91.0;3.59;51.0;16.0;6.0;0.24;4.0;0.0;681.0;79.1;11168.0;2084.0;36;0.0;36.0;26;2.72;0.1;21;12.0;17.0;22.2;34;1.44;155.0;76.0;12.0;Forward;40.0;M;40.0;3.6888794541139363
345;Divock Origi;Divock Origi;FW;24.0;717;4;0.5;1;0.13;0.63;8.0;23.0;2.89;11.0;6.0;4.0;0.5;0.0;1.0;158.0;72.1;2486.0;350.0;16;1.0;36.8;6;1.76;0.29;10;4.0;6.0;34.9;28;2.54;45.0;11.0;1.0;Forward;40.0;M;40.0;3.6888794541139363
346;Djavan Anderson;Djavan Anderson;DF;24.0;167;0;0.0;0;0.0;0.0;1.9;2.0;1.08;2.0;0.0;0.0;0.0;0.0;0.0;58.0;85.3;1005.0;206.0;2;0.0;33.3;0;0.54;0.0;1;0.0;5.0;20.8;6;1.67;4.0;2.0;0.0;Defender;4.0;M;4.0;1.3862943611198906
347;Djibril Sidibé;Djibril Sidibé;DF;27.0;1824;0;0.0;4;0.2;0.2;20.3;37.0;1.83;30.0;0.0;4.0;0.2;4.0;0.0;909.0;78.0;18044.0;6702.0;49;0.0;46.8;3;0.59;0.0;40;34.0;37.0;29.1;25;1.32;19.0;14.0;4.0;Defender;8.0;M;8.0;2.0794415416798357
348;Djibril Sow;Djibril Sow;MF;22.0;1746;1;0.05;3;0.15;0.21;19.4;45.0;2.32;36.0;1.0;6.0;0.31;4.0;0.0;717.0;81.8;14465.0;3404.0;24;0.0;43.1;3;1.08;0.05;39;13.0;26.0;31.0;29;1.31;31.0;13.0;0.0;Midfielder;7.0;M;7.0;1.9459101490553132
349;Dodi Lukebakio;Dodi Lukebakio;FW;21.0;2031;7;0.31;6;0.27;0.58;22.6;66.0;2.92;44.0;11.0;11.0;0.49;3.0;4.0;480.0;75.4;8576.0;1842.0;44;0.0;36.4;18;1.68;0.18;22;8.0;27.0;24.1;30;1.13;70.0;54.0;3.0;Forward;8.0;M;8.0;2.0794415416798357
350;Domenico Berardi;Domenico Berardi;FW;24.0;2493;14;0.51;10;0.36;0.87;27.7;117.0;4.22;73.0;7.0;14.0;0.51;9.0;1.0;879.0;73.7;15858.0;4512.0;48;0.0;44.4;44;4.15;0.1;23;13.0;47.0;22.6;31;1.48;102.0;44.0;4.0;Forward;20.0;M;20.0;2.995732273553991
351;Domenico Criscito;Domenico Criscito;DF;32.0;2053;8;0.35;0;0.0;0.35;22.8;34.0;1.49;26.0;0.0;1.0;0.04;1.0;0.0;964.0;77.1;20197.0;7603.0;47;0.0;63.6;2;0.57;0.08;44;27.0;53.0;31.9;26;1.15;21.0;9.0;2.0;Defender;2.0;M;2.0;0.6931471805599453
352;Domingos Duarte;Domingos Duarte;DF;24.0;3087;3;0.09;1;0.03;0.12;34.3;5.0;0.15;4.0;0.0;1.0;0.03;1.0;0.0;970.0;79.6;23651.0;7528.0;5;0.0;64.9;4;0.29;0.3;21;7.0;49.0;35.6;36;1.47;21.0;6.0;2.0;Defender;10.0;M;10.0;2.302585092994046
353;Dominic Calvert-Lewin;Dominic Calvert-Lewin;FW;22.0;2626;13;0.45;1;0.03;0.48;29.2;57.0;1.95;34.0;2.0;3.0;0.1;2.0;0.0;393.0;66.2;5940.0;1307.0;19;0.0;46.4;37;2.84;0.16;11;3.0;22.0;27.6;36;1.28;144.0;15.0;1.0;Forward;40.0;M;40.0;3.6888794541139363
354;Dominick Drexler;Dominick Drexler;MF;29.0;1587;3;0.17;4;0.23;0.4;17.6;58.0;3.29;45.0;3.0;6.0;0.34;5.0;0.0;486.0;73.1;8604.0;2825.0;38;0.0;36.0;8;1.13;0.15;19;8.0;26.0;29.4;27;1.04;56.0;23.0;0.0;Midfielder;4.0;M;4.0;1.3862943611198906
355;Dominik Kohr;Dominik Kohr;MF;25.0;1445;0;0.0;3;0.19;0.19;16.1;40.0;2.49;28.0;3.0;5.0;0.31;3.0;1.0;634.0;80.6;11129.0;2909.0;13;0.0;36.7;11;1.68;0.0;39;18.0;47.0;35.0;26;1.5;37.0;21.0;0.0;Midfielder;5.0;M;5.0;1.6094379124341003
356;Dominique Heintz;Dominique Heintz;DF;25.0;2434;0;0.0;1;0.04;0.04;27.0;18.0;0.67;17.0;1.0;2.0;0.07;2.0;0.0;1113.0;84.3;26784.0;8676.0;9;0.0;55.8;2;0.15;0.0;31;15.0;53.0;28.5;28;1.43;5.0;19.0;0.0;Defender;6.0;M;6.0;1.791759469228055
357;Douglas Luiz;Douglas Luiz;MF;21.0;2612;3;0.1;2;0.07;0.17;29.0;44.0;1.52;34.0;3.0;3.0;0.1;2.0;0.0;984.0;80.9;20870.0;4818.0;17;0.0;49.2;12;1.34;0.08;33;19.0;64.0;26.2;36;0.94;36.0;30.0;2.0;Midfielder;20.0;M;20.0;2.995732273553991
358;Duván Zapata;Duván Zapata;FW;28.0;2026;18;0.8;6;0.27;1.07;22.5;74.0;3.29;57.0;7.0;12.0;0.53;10.0;0.0;458.0;76.2;6597.0;941.0;27;1.0;40.2;35;3.86;0.2;4;3.0;24.0;28.7;28;2.25;211.0;32.0;4.0;Forward;40.0;M;40.0;3.6888794541139363
359;Dwight Gayle;Dwight Gayle;FW;28.0;850;4;0.42;2;0.21;0.64;9.4;12.0;1.27;7.0;0.0;2.0;0.21;2.0;0.0;110.0;73.3;1683.0;222.0;5;0.0;33.3;10;2.44;0.17;10;2.0;10.0;27.7;20;0.8;37.0;4.0;0.0;Forward;6.0;M;6.0;1.791759469228055
360;Dwight McNeil;Dwight McNeil;MF;19.0;3338;2;0.05;6;0.16;0.22;37.1;103.0;2.78;61.0;7.0;14.0;0.38;9.0;1.0;874.0;68.4;16975.0;5390.0;130;0.0;50.0;14;1.29;0.04;28;17.0;71.0;24.3;38;1.42;51.0;80.0;6.0;Midfielder;20.0;M;20.0;2.995732273553991
361;Dylan Bronn;Dylan Bronn;DF;24.0;810;0;0.0;0;0.0;0.0;9.0;1.0;0.11;1.0;0.0;0.0;0.0;0.0;0.0;239.0;81.6;6350.0;1772.0;0;0.0;54.5;1;0.22;0.0;7;5.0;13.0;43.4;9;1.89;3.0;1.0;0.0;Defender;3.0;M;3.0;1.0986122886681098
362;Dénys Bain;Dénys Bain;DF;26.0;1268;1;0.07;0;0.0;0.07;14.1;4.0;0.28;4.0;0.0;0.0;0.0;0.0;0.0;610.0;93.1;13540.0;3698.0;0;0.0;71.7;1;0.21;0.33;19;7.0;22.0;33.3;15;1.27;4.0;0.0;0.0;Defender;2.0;M;2.0;0.6931471805599453
363;Ebrima Colley;Ebrima Colley;FW;19.0;82;0;0.0;1;1.1;1.1;0.9;6.0;6.59;3.0;1.0;1.0;1.1;1.0;0.0;37.0;88.1;508.0;92.0;0;0.0;50.0;2;5.49;0.0;1;1.0;2.0;26.7;5;2.0;12.0;4.0;0.0;Forward;2.0;M;2.0;0.6931471805599453
364;Eddie Nketiah;Eddie Nketiah;FW;20.0;633;2;0.28;0;0.0;0.28;7.0;12.0;1.71;7.0;2.0;1.0;0.14;0.0;0.0;111.0;79.3;1668.0;248.0;3;0.0;42.9;5;2.13;0.13;7;2.0;5.0;23.9;13;1.85;30.0;10.0;1.0;Forward;20.0;M;20.0;2.995732273553991
365;Ederson;Ederson;GK;25.0;3071;0;0.0;0;0.0;0.0;34.1;4.0;0.12;4.0;0.0;1.0;0.03;1.0;0.0;927.0;87.2;23473.0;13253.0;0;0.0;0.0;0;0.0;0.0;1;1.0;0.0;28.6;35;2.14;0.0;0.0;0.0;Goalkeeper;60.0;M;60.0;4.0943445622221
366;Edimilson Fernandes;Edimilson Fernandes;MF;23.0;1484;1;0.06;0;0.0;0.06;16.5;32.0;1.94;26.0;3.0;1.0;0.06;1.0;0.0;614.0;84.9;12399.0;3454.0;9;0.0;53.8;2;1.33;0.05;26;18.0;34.0;28.4;24;1.08;10.0;15.0;0.0;Midfielder;8.0;M;8.0;2.0794415416798357
367;Edinson Cavani;Edinson Cavani;FW;32.0;605;4;0.6;1;0.15;0.74;6.7;23.0;3.42;18.0;3.0;2.0;0.3;1.0;0.0;120.0;85.7;1823.0;296.0;4;0.0;40.0;10;4.17;0.11;4;1.0;7.0;21.1;14;2.29;54.0;6.0;1.0;Forward;10.0;M;10.0;2.302585092994046
368;Edmond Tapsoba;Edmond Tapsoba;DF;20.0;1058;0;0.0;0;0.0;0.0;11.8;6.0;0.51;5.0;0.0;0.0;0.0;0.0;0.0;1010.0;92.2;23268.0;5892.0;0;0.0;50.0;0;0.17;0.0;19;14.0;23.0;32.8;14;2.07;4.0;5.0;0.0;Defender;9.0;M;9.0;2.1972245773362196
369;Edoardo Goldaniga;Edoardo Goldaniga;DF;25.0;784;1;0.11;0;0.0;0.11;8.7;9.0;1.03;8.0;0.0;1.0;0.11;1.0;0.0;325.0;76.5;7503.0;3296.0;10;0.0;46.8;4;0.69;0.17;7;1.0;16.0;36.7;13;1.31;7.0;1.0;0.0;Defender;3.0;M;3.0;1.0986122886681098
370;Edouard Mendy;Edouard Mendy;GK;27.0;2160;0;0.0;0;0.0;0.0;24.0;2.0;0.08;2.0;0.0;0.0;0.0;0.0;0.0;585.0;73.9;20228.0;13018.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;33.3;24;1.83;0.0;1.0;0.0;Goalkeeper;30.0;M;30.0;3.4011973816621555
371;Edu Expósito;Edu Expósito;MF;22.0;2316;4;0.16;1;0.04;0.19;25.7;44.0;1.71;31.0;3.0;3.0;0.12;2.0;0.0;759.0;81.4;14891.0;3121.0;14;0.0;43.4;16;1.28;0.09;41;16.0;28.0;30.8;35;1.09;25.0;26.0;0.0;Midfielder;8.0;M;8.0;2.0794415416798357
372;Eduard Löwen;Eduard Löwen;MF;22.0;985;2;0.135;1;0.065;0.2;11.0;17.0;1.22;7.0;0.0;2.0;0.135;1.0;0.0;275.0;71.95;5471.0;1460.0;9;0.0;56.3;6;1.385;0.1;16;7.0;16.0;25.700000000000006;23;0.73;10.0;20.0;0.0;Midfielder;4.0;M;4.0;1.3862943611198906
373;El Bilal Touré;El Bilal Touré;FW;17.0;453;3;0.6;0;0.0;0.6;5.0;7.0;1.39;4.0;0.0;2.0;0.4;0.0;0.0;50.0;73.5;686.0;103.0;3;1.0;33.3;4;1.79;0.11;3;0.0;8.0;28.8;7;1.71;26.0;3.0;0.0;Forward;2.0;M;2.0;0.6931471805599453
374;Eliaquim Mangala;Eliaquim Mangala;DF;28.0;673;0;0.0;0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;254.0;87.9;5597.0;1507.0;0;0.0;66.7;0;0.13;0.0;4;3.0;11.0;36.4;8;0.63;4.0;0.0;0.0;Defender;7.0;M;7.0;1.9459101490553132
375;Ellyes Skhiri;Ellyes Skhiri;MF;24.0;2672;1;0.03;3;0.1;0.13;29.7;52.0;1.75;40.0;2.0;8.0;0.27;4.0;1.0;1190.0;84.9;22518.0;5436.0;7;0.0;55.3;5;0.84;0.04;49;22.0;73.0;30.9;32;1.09;35.0;31.0;1.0;Midfielder;7.0;M;7.0;1.9459101490553132
376;Elseid Hysaj;Elseid Hysaj;DF;25.0;1481;1;0.06;2;0.12;0.18;16.5;36.0;2.19;33.0;1.0;3.0;0.18;3.0;0.0;1098.0;84.5;18329.0;6483.0;30;0.0;37.5;3;0.3;0.2;17;9.0;32.0;31.7;20;2.0;14.0;15.0;1.0;Defender;7.0;M;7.0;1.9459101490553132
377;Emerson;Emerson;DF;20.0;5678;6;0.1;12;0.19;0.29;63.0;120.0;1.9;94.0;6.0;16.0;0.25;12.0;2.0;2576.0;80.3;43228.0;14772.0;160;0.0;63.7;8;0.73;0.13;90;50.0;114.0;25.2;66;1.12;192.0;42.0;4.0;Defender;30.0;M;30.0;3.4011973816621555
378;Emil Audero;Emil Audero;GK;22.0;3240;0;0.0;0;0.0;0.0;36.0;2.0;0.06;2.0;0.0;0.0;0.0;0.0;0.0;660.0;63.6;21725.0;14133.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;36;1.14;0.0;1.0;0.0;Goalkeeper;4.0;M;4.0;1.3862943611198906
379;Emil Forsberg;Emil Forsberg;MF;27.0;1141;5;0.39;2;0.16;0.55;12.7;51.0;4.02;36.0;3.0;4.0;0.32;3.0;0.0;429.0;79.7;7022.0;2065.0;11;0.0;31.8;8;1.89;0.13;12;7.0;19.0;30.2;22;1.73;40.0;26.0;1.0;Midfielder;10.0;M;10.0;2.302585092994046
380;Emil Krafth;Emil Krafth;DF;24.0;1020;0;0.0;1;0.09;0.09;11.3;4.0;0.35;4.0;0.0;1.0;0.09;1.0;0.0;316.0;73.0;5635.0;2664.0;11;0.0;55.6;0;0.35;0.0;12;6.0;20.0;29.9;17;1.12;15.0;6.0;1.0;Defender;8.0;M;8.0;2.0794415416798357
381;Emiliano Martínez;Emiliano Martínez;GK;26.0;771;0;0.0;0;0.0;0.0;8.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;212.0;72.4;5765.0;3162.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;9;1.78;0.0;0.0;0.0;Goalkeeper;20.0;M;20.0;2.995732273553991
382;Emiliano Rigoni;Emiliano Rigoni;MF;26.0;431;0;0.0;1;0.21;0.21;4.8;24.0;5.01;12.0;2.0;2.0;0.42;1.0;0.0;124.0;64.2;2251.0;789.0;22;0.0;35.7;2;1.46;0.0;5;2.0;4.0;20.8;8;0.63;15.0;16.0;2.0;Midfielder;3.0;M;3.0;1.0986122886681098
383;Enda Stevens;Enda Stevens;DF;29.0;3345;2;0.05;4;0.11;0.16;37.2;67.0;1.8;54.0;4.0;9.0;0.24;8.0;1.0;1405.0;74.1;24266.0;9869.0;84;0.0;57.4;4;0.59;0.09;43;24.0;76.0;26.6;38;1.42;81.0;62.0;6.0;Defender;20.0;M;20.0;2.995732273553991
384;Enes Ünal;Enes Ünal;FW;22.0;2344;6;0.23;2;0.08;0.31;26.0;57.0;2.19;39.0;6.0;7.0;0.27;4.0;0.0;423.0;68.1;6601.0;1583.0;9;3.0;42.4;23;2.19;0.07;12;3.0;24.0;21.1;35;1.14;104.0;26.0;0.0;Forward;6.0;M;6.0;1.791759469228055
385;Enis Bardhi;Enis Bardhi;MF;24.0;2114;7;0.3;2;0.09;0.38;23.5;68.0;2.89;40.0;7.0;10.0;0.43;4.0;2.0;625.0;73.3;10380.0;3265.0;24;1.0;9.1;18;2.38;0.13;27;8.0;25.0;23.0;30;1.33;51.0;38.0;1.0;Midfielder;20.0;M;20.0;2.995732273553991
386;Enock Kwateng;Enock Kwateng;DF;22.0;983;0;0.0;1;0.09;0.09;10.9;16.0;1.46;13.0;0.0;2.0;0.18;1.0;0.0;476.0;76.8;8161.0;3287.0;23;0.0;72.5;2;0.37;0.0;21;20.0;30.0;28.6;14;1.86;4.0;9.0;0.0;Defender;3.0;M;3.0;1.0986122886681098
387;Enric Gallego;Enric Gallego;FW;32.0;1044;3;0.155;0;0.0;0.155;11.6;25.0;1.725;18.0;1.0;3.0;0.155;1.0;0.0;174.0;55.8;2338.0;513.0;4;0.0;41.15;8;1.9;0.07;8;1.0;12.0;24.4;19;1.385;63.0;8.0;1.0;Forward;1.0;M;1.0;0.0
388;Eric Bailly;Eric Bailly;DF;25.0;150;0;0.0;0;0.0;0.0;1.7;1.0;0.6;1.0;0.0;0.0;0.0;0.0;0.0;64.0;88.9;1266.0;433.0;0;0.0;85.7;0;0.0;0.0;0;0.0;3.0;23.5;4;2.5;0.0;1.0;0.0;Defender;30.0;M;30.0;3.4011973816621555
389;Eric Dier;Eric Dier;DF;25.0;1344;0;0.0;2;0.13;0.13;14.9;10.0;0.67;9.0;0.0;1.0;0.07;1.0;0.0;713.0;81.4;15425.0;4283.0;1;0.0;68.7;1;0.54;0.0;14;6.0;26.0;26.5;19;1.95;11.0;3.0;0.0;Defender;30.0;M;30.0;3.4011973816621555
390;Eric García;Eric García;DF;18.0;793;0;0.0;0;0.0;0.0;8.8;3.0;0.34;3.0;0.0;0.0;0.0;0.0;0.0;672.0;95.3;13839.0;3727.0;1;0.0;45.5;1;0.23;0.0;4;6.0;8.0;27.0;13;2.54;3.0;7.0;0.0;Defender;20.0;M;20.0;2.995732273553991
391;Erick Cabaco;Erick Cabaco;DF;24.0;1076;0;0.0;0;0.0;0.0;12.0;6.0;0.335;4.0;0.0;0.0;0.0;0.0;0.0;360.0;70.2;9015.0;3624.0;3;0.0;69.9;0;0.39;0.0;12;5.0;17.0;33.1;15;1.1;5.0;4.0;0.0;Defender;5.0;M;5.0;1.6094379124341003
392;Erick Pulgar;Erick Pulgar;MF;25.0;2950;7;0.21;6;0.18;0.4;32.8;123.0;3.75;59.0;0.0;10.0;0.31;3.0;0.0;1410.0;81.1;28418.0;8679.0;49;0.0;53.8;6;0.76;0.0;39;19.0;76.0;27.9;37;1.32;23.0;12.0;0.0;Midfielder;10.0;M;10.0;2.302585092994046
393;Erik Durm;Erik Durm;DF;27.0;511;0;0.0;0;0.0;0.0;5.7;9.0;1.59;6.0;1.0;1.0;0.18;1.0;0.0;156.0;63.7;2751.0;1145.0;14;0.0;33.3;3;2.29;0.0;8;5.0;15.0;25.7;9;0.56;16.0;5.0;0.0;Defender;4.0;M;4.0;1.3862943611198906
394;Erik Pieters;Erik Pieters;DF;30.0;1878;0;0.0;4;0.19;0.19;20.9;24.0;1.15;22.0;0.0;4.0;0.19;4.0;0.0;687.0;74.4;11959.0;4687.0;27;0.0;68.8;4;0.67;0.0;41;22.0;65.0;24.6;24;1.25;20.0;4.0;2.0;Defender;4.0;M;4.0;1.3862943611198906
395;Erik Thommy;Erik Thommy;DF;24.0;2259;6;0.24;4;0.16;0.4;25.1;89.0;3.55;42.0;13.0;9.0;0.36;3.0;2.0;645.0;70.9;11853.0;3488.0;73;1.0;23.9;21;2.43;0.1;27;14.0;41.0;30.0;34;0.88;72.0;47.0;0.0;Defender;4.0;M;4.0;1.3862943611198906
396;Esteban Burgos;Esteban Burgos;DF;27.0;1119;1;0.08;0;0.0;0.08;12.4;4.0;0.32;4.0;0.0;0.0;0.0;0.0;0.0;244.0;64.2;6711.0;2423.0;0;0.0;67.6;1;0.16;0.5;9;7.0;23.0;36.0;15;1.13;3.0;7.0;0.0;Defender;4.0;M;4.0;1.3862943611198906
397;Ethan Ampadu;Ethan Ampadu;DF;18.0;81;0;0.0;0;0.0;0.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.0;94.9;1495.0;445.0;0;0.0;100.0;0;1.11;0.0;3;1.0;2.0;53.3;3;3.0;1.0;0.0;0.0;Defender;10.0;M;10.0;2.302585092994046
398;Exequiel Palacios;Exequiel Palacios;MF;20.0;177;0;0.0;0;0.0;0.0;2.0;6.0;3.05;5.0;1.0;0.0;0.0;0.0;0.0;129.0;85.4;2028.0;458.0;1;0.0;100.0;0;2.54;0.0;5;1.0;2.0;32.5;3;2.33;2.0;3.0;0.0;Midfielder;10.0;M;10.0;2.302585092994046
