;Player;Position;Comp;Age;Min;Goals;GoalsPer90;Asists;AsistsPer90;GoalAstPer90;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio
2609;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;121;68.8;2655;904;5;1;27.3;15;4.23;0.17;9;4;17;25.4
2610;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;121;68.8;2655;904;5;1;27.3;15;4.23;0.17;4;0;5;21.1
2611;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;121;68.8;2655;904;5;1;27.3;7;5.16;0.00;9;4;17;25.4
2612;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;121;68.8;2655;904;5;1;27.3;7;5.16;0.00;4;0;5;21.1
2613;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;121;68.8;2655;904;4;0;40.0;15;4.23;0.17;9;4;17;25.4
2614;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;121;68.8;2655;904;4;0;40.0;15;4.23;0.17;4;0;5;21.1
2615;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;121;68.8;2655;904;4;0;40.0;7;5.16;0.00;9;4;17;25.4
2616;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;121;68.8;2655;904;4;0;40.0;7;5.16;0.00;4;0;5;21.1
2617;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;74;77.1;1208;281;5;1;27.3;15;4.23;0.17;9;4;17;25.4
2618;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;74;77.1;1208;281;5;1;27.3;15;4.23;0.17;4;0;5;21.1
2619;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;74;77.1;1208;281;5;1;27.3;7;5.16;0.00;9;4;17;25.4
2620;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;74;77.1;1208;281;5;1;27.3;7;5.16;0.00;4;0;5;21.1
2621;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;74;77.1;1208;281;4;0;40.0;15;4.23;0.17;9;4;17;25.4
2622;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;74;77.1;1208;281;4;0;40.0;15;4.23;0.17;4;0;5;21.1
2623;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;74;77.1;1208;281;4;0;40.0;7;5.16;0.00;9;4;17;25.4
2624;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;8.3;29;3.51;16;6;4;0.48;1;1;74;77.1;1208;281;4;0;40.0;7;5.16;0.00;4;0;5;21.1
2625;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;121;68.8;2655;904;5;1;27.3;15;4.23;0.17;9;4;17;25.4
2626;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;121;68.8;2655;904;5;1;27.3;15;4.23;0.17;4;0;5;21.1
2627;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;121;68.8;2655;904;5;1;27.3;7;5.16;0.00;9;4;17;25.4
2628;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;121;68.8;2655;904;5;1;27.3;7;5.16;0.00;4;0;5;21.1
2629;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;121;68.8;2655;904;4;0;40.0;15;4.23;0.17;9;4;17;25.4
2630;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;121;68.8;2655;904;4;0;40.0;15;4.23;0.17;4;0;5;21.1
2631;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;121;68.8;2655;904;4;0;40.0;7;5.16;0.00;9;4;17;25.4
2632;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;121;68.8;2655;904;4;0;40.0;7;5.16;0.00;4;0;5;21.1
2633;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;74;77.1;1208;281;5;1;27.3;15;4.23;0.17;9;4;17;25.4
2634;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;74;77.1;1208;281;5;1;27.3;15;4.23;0.17;4;0;5;21.1
2635;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;74;77.1;1208;281;5;1;27.3;7;5.16;0.00;9;4;17;25.4
2636;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;74;77.1;1208;281;5;1;27.3;7;5.16;0.00;4;0;5;21.1
2637;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;74;77.1;1208;281;4;0;40.0;15;4.23;0.17;9;4;17;25.4
2638;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;74;77.1;1208;281;4;0;40.0;15;4.23;0.17;4;0;5;21.1
2639;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;74;77.1;1208;281;4;0;40.0;7;5.16;0.00;9;4;17;25.4
2640;Matheus Cunha;FW,MF;de Bundesliga;20;279;0.0;0.00;1;0.32;0.32;3.1;14;4.52;7;0;1;0.32;0;0;74;77.1;1208;281;4;0;40.0;7;5.16;0.00;4;0;5;21.1
2641;Felipe Curcio;DF;it Serie A;26;5;0.0;0.00;0;0.00;0.00;0.1;0;0.00;0;0;0;0.00;0;0;8;66.7;114;53;1;0;100.0;0;0.00;;0;0;0;100.0
2642;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;8;1;21.7;12;2.36;0.18;4;1;1;27.4
2643;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;8;1;21.7;12;2.36;0.18;6;0;9;21.9
2644;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;8;1;21.7;3;3.33;0.18;4;1;1;27.4
2645;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;8;1;21.7;3;3.33;0.18;6;0;9;21.9
2646;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;6;0;19.2;12;2.36;0.18;4;1;1;27.4
2647;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;6;0;19.2;12;2.36;0.18;6;0;9;21.9
2648;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;6;0;19.2;3;3.33;0.18;4;1;1;27.4
2649;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;6;0;19.2;3;3.33;0.18;6;0;9;21.9
2650;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;8;1;21.7;12;2.36;0.18;4;1;1;27.4
2651;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;8;1;21.7;12;2.36;0.18;6;0;9;21.9
2652;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;8;1;21.7;3;3.33;0.18;4;1;1;27.4
2653;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;8;1;21.7;3;3.33;0.18;6;0;9;21.9
2654;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;6;0;19.2;12;2.36;0.18;4;1;1;27.4
2655;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;6;0;19.2;12;2.36;0.18;6;0;9;21.9
2656;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;6;0;19.2;3;3.33;0.18;4;1;1;27.4
2657;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;6;0;19.2;3;3.33;0.18;6;0;9;21.9
2658;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;8;1;21.7;12;2.36;0.18;4;1;1;27.4
2659;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;8;1;21.7;12;2.36;0.18;6;0;9;21.9
2660;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;8;1;21.7;3;3.33;0.18;4;1;1;27.4
2661;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;8;1;21.7;3;3.33;0.18;6;0;9;21.9
2662;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;6;0;19.2;12;2.36;0.18;4;1;1;27.4
2663;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;6;0;19.2;12;2.36;0.18;6;0;9;21.9
2664;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;6;0;19.2;3;3.33;0.18;4;1;1;27.4
2665;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;6;0;19.2;3;3.33;0.18;6;0;9;21.9
2666;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;8;1;21.7;12;2.36;0.18;4;1;1;27.4
2667;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;8;1;21.7;12;2.36;0.18;6;0;9;21.9
2668;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;8;1;21.7;3;3.33;0.18;4;1;1;27.4
2669;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;8;1;21.7;3;3.33;0.18;6;0;9;21.9
2670;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;6;0;19.2;12;2.36;0.18;4;1;1;27.4
2671;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;6;0;19.2;12;2.36;0.18;6;0;9;21.9
2672;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;6;0;19.2;3;3.33;0.18;4;1;1;27.4
2673;Patrick Cutrone;FW;it Serie A;21;838;4.0;0.43;1;0.11;0.54;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;6;0;19.2;3;3.33;0.18;6;0;9;21.9
2674;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;8;1;21.7;12;2.36;0.18;4;1;1;27.4
2675;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;8;1;21.7;12;2.36;0.18;6;0;9;21.9
2676;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;8;1;21.7;3;3.33;0.18;4;1;1;27.4
2677;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;8;1;21.7;3;3.33;0.18;6;0;9;21.9
2678;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;6;0;19.2;12;2.36;0.18;4;1;1;27.4
2679;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;6;0;19.2;12;2.36;0.18;6;0;9;21.9
2680;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;6;0;19.2;3;3.33;0.18;4;1;1;27.4
2681;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;120;71.0;1694;290;6;0;19.2;3;3.33;0.18;6;0;9;21.9
2682;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;8;1;21.7;12;2.36;0.18;4;1;1;27.4
2683;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;8;1;21.7;12;2.36;0.18;6;0;9;21.9
2684;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;8;1;21.7;3;3.33;0.18;4;1;1;27.4
2685;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;8;1;21.7;3;3.33;0.18;6;0;9;21.9
2686;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;6;0;19.2;12;2.36;0.18;4;1;1;27.4
2687;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;6;0;19.2;12;2.36;0.18;6;0;9;21.9
2688;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;6;0;19.2;3;3.33;0.18;4;1;1;27.4
2689;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;3.3;2;0.61;1;0;0;0.00;0;0;38;67.9;488;67;6;0;19.2;3;3.33;0.18;6;0;9;21.9
2690;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;8;1;21.7;12;2.36;0.18;4;1;1;27.4
2691;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;8;1;21.7;12;2.36;0.18;6;0;9;21.9
2692;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;8;1;21.7;3;3.33;0.18;4;1;1;27.4
2693;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;8;1;21.7;3;3.33;0.18;6;0;9;21.9
2694;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;6;0;19.2;12;2.36;0.18;4;1;1;27.4
2695;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;6;0;19.2;12;2.36;0.18;6;0;9;21.9
2696;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;6;0;19.2;3;3.33;0.18;4;1;1;27.4
2697;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;120;71.0;1694;290;6;0;19.2;3;3.33;0.18;6;0;9;21.9
2698;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;8;1;21.7;12;2.36;0.18;4;1;1;27.4
2699;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;8;1;21.7;12;2.36;0.18;6;0;9;21.9
2700;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;8;1;21.7;3;3.33;0.18;4;1;1;27.4
2701;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;8;1;21.7;3;3.33;0.18;6;0;9;21.9
2702;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;6;0;19.2;12;2.36;0.18;4;1;1;27.4
2703;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;6;0;19.2;12;2.36;0.18;6;0;9;21.9
2704;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;6;0;19.2;3;3.33;0.18;4;1;1;27.4
2705;Patrick Cutrone;FW;eng Premier League;21;297;2.0;0.61;0;0.00;0.61;9.3;18;1.93;12;0;3;0.32;2;0;38;67.9;488;67;6;0;19.2;3;3.33;0.18;6;0;9;21.9
2706;Wylan Cyprien;MF;fr Ligue 1;24;1,772;7.0;0.36;3;0.15;0.51;19.7;68;3.45;32;0;10;0.51;4;0;1122;83.5;22657;5661;24;0;55.0;15;2.69;0.04;16;7;14;27.4
2707;Rafael Czichos;DF;de Bundesliga;29;2,207;1.0;0.04;1;0.04;0.08;24.5;15;0.61;10;0;3;0.12;1;0;990;83.9;23215;8988;4;0;60.4;6;0.45;0.09;37;17;52;37.6
2708;Lennart-Marten Czyborra;DF;it Serie A;20;17;0.0;0.00;0;0.00;0.00;0.2;0;0.00;0;0;0;0.00;0;0;8;80.0;104;3;0;0;;0;0.00;;0;0;2;57.1
2709;Marco D'Alessandro;MF,DF;it Serie A;28;781;2.0;0.23;0;0.00;0.23;8.7;21;2.42;18;2;0;0.00;0;0;191;73.7;2862;827;23;0;0.0;3;0.69;0.33;9;3;12;28.7
2710;Danilo D'Ambrosio;DF;it Serie A;30;1,402;4.0;0.26;0;0.00;0.26;15.6;16;1.03;12;1;0;0.00;0;0;768;85.1;14027;4611;16;0;54.1;4;0.45;0.57;20;14;24;27.2
2711;Felice D'Amico;MF;it Serie A;18;3;0.0;0.00;0;0.00;0.00;0.0;0;0.00;0;0;0;0.00;0;0;4;80.0;49;14;0;0;;0;30.00;0.00;1;1;0;20.0
2712;Lucas Da Cunha;MF;fr Ligue 1;18;72;0.0;0.00;0;0.00;0.00;0.8;4;5.00;3;0;0;0.00;0;0;18;81.8;230;29;1;0;16.7;0;2.50;0.00;1;0;0;36.8
2713;Jacopo Da Riva;FW;it Serie A;18;1;0.0;0.00;0;0.00;0.00;0.0;1;90.00;1;0;0;0.00;0;0;2;100.0;24;9;0;0;;0;0.00;;0;0;0;0.0
2714;Damien Da Silva;DF;fr Ligue 1;31;2,244;1.0;0.04;2;0.08;0.12;24.9;13;0.52;12;0;2;0.08;2;0;1068;87.5;24093;6897;2;0;74.6;3;0.24;0.17;17;6;38;37.1
2715;Bryan Dabo;MF;it Serie A;27;1,122;1.0;0.08;4;0.32;0.40;12.5;26;2.09;23;0;4;0.32;3;0;500;86.5;8396;1886;3;0;61.9;3;0.64;0.13;14;4;17;28.3
2716;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;189;72.7;2751;806;10;1;30.3;10;2.70;0.17;1;0;0;60.0
2717;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;189;72.7;2751;806;10;1;30.3;10;2.70;0.17;7;4;12;26.3
2718;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;189;72.7;2751;806;10;1;30.3;0;6.92;0.00;1;0;0;60.0
2719;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;189;72.7;2751;806;10;1;30.3;0;6.92;0.00;7;4;12;26.3
2720;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;189;72.7;2751;806;1;0;50.0;10;2.70;0.17;1;0;0;60.0
2721;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;189;72.7;2751;806;1;0;50.0;10;2.70;0.17;7;4;12;26.3
2722;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;189;72.7;2751;806;1;0;50.0;0;6.92;0.00;1;0;0;60.0
2723;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;189;72.7;2751;806;1;0;50.0;0;6.92;0.00;7;4;12;26.3
2724;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;14;73.7;243;75;10;1;30.3;10;2.70;0.17;1;0;0;60.0
2725;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;14;73.7;243;75;10;1;30.3;10;2.70;0.17;7;4;12;26.3
2726;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;14;73.7;243;75;10;1;30.3;0;6.92;0.00;1;0;0;60.0
2727;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;14;73.7;243;75;10;1;30.3;0;6.92;0.00;7;4;12;26.3
2728;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;14;73.7;243;75;1;0;50.0;10;2.70;0.17;1;0;0;60.0
2729;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;14;73.7;243;75;1;0;50.0;10;2.70;0.17;7;4;12;26.3
2730;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;14;73.7;243;75;1;0;50.0;0;6.92;0.00;1;0;0;60.0
2731;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;0.3;1;3.46;1;0;0;0.00;0;0;14;73.7;243;75;1;0;50.0;0;6.92;0.00;7;4;12;26.3
2732;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;8.5;30;3.52;18;1;3;0.35;2;0;189;72.7;2751;806;10;1;30.3;10;2.70;0.17;1;0;0;60.0
2733;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;8.5;30;3.52;18;1;3;0.35;2;0;189;72.7;2751;806;10;1;30.3;10;2.70;0.17;7;4;12;26.3
2734;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;8.5;30;3.52;18;1;3;0.35;2;0;189;72.7;2751;806;10;1;30.3;0;6.92;0.00;1;0;0;60.0
2735;Moanes Dabour;FW;de Bundesliga;27;766;4.0;0.47;0;0.00;0.47;8.5;30;3.52;18;1;3;0.35;2;0;189;72.7;2751;806;10;1;30.3;0;6.92;0.00;7;4;12;26.3
